what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1402950209592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1402950209905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950278709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1402950287329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950289862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950295131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950296787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950299910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950303477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950308283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950313240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950317981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950323259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950333606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950380103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950397618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950403716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950407222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950455026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950457487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950496694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950498809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950522428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950530257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950530888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950543405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950543768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950545631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950626279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950647535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1402950680892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1402950681279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1402950695878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402950700035
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1402950800310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950805323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950811189
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402950811328
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402950811442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402950816034
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1402950817939
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402950818111
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1402950818966
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402950819166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950829598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950832250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950832398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950837467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950838491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950839048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1402950845537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950858085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402950867435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1402950869823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402950877509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1402950880339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402950880520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402950902942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402950919630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402950939836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951006991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1402951007923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951011489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951011585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402951014461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402951024053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951028079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951032258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951033479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951035365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951037568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951038944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402951047412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402951054571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402951073989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402951080655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951090823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951094862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951098073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951104369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1402951106835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951113094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951113944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951114254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951208682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951210137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951214579
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402951215502
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402951217013
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1402951219204
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402951220519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1402951236486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951296970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951297091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1402951318232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1402951325687
