what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.8.0.v20120606-0717,"org.eclipse.emf.ecore",1403175115836
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120606-0717,"org.eclipse.emf.ecore.xmi",1403175115838
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1403175115839
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1403175115840
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1403175115841
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1403175115842
os,sysinfo,,,"win32",1403175115847
arch,sysinfo,,,"x86",1403175115847
ws,sysinfo,,,"win32",1403175115847
locale,sysinfo,,,"es_ES",1403175115847
processors,sysinfo,,,"4",1403175115847
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403175115847
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1403175115847
java.specification.name,sysinfo,,,"Java Platform API Specification",1403175115847
java.specification.vendor,sysinfo,,,"Oracle Corporation",1403175115847
java.specification.version,sysinfo,,,"1.7",1403175115847
java.vendor,sysinfo,,,"Oracle Corporation",1403175115847
java.version,sysinfo,,,"1.7.0_60",1403175115847
java.vm.info,sysinfo,,,"mixed mode",1403175115847
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403175115847
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403175115847
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1403175115847
java.vm.specification.version,sysinfo,,,"1.7",1403175115847
java.vm.vendor,sysinfo,,,"Oracle Corporation",1403175115847
java.vm.version,sysinfo,,,"24.60-b09",1403175115847
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1403175115882
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1403175116498
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175118274
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175118383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1403175121156
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1403175121214
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1403175121230
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1403175122357
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175128280
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175128369
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175128987
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175129118
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175129894
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175130885
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175131632
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175137582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175225932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175238136
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.callhierarchy.view",1403175253501
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.callhierarchy.view",1403175253544
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy",1403175253608
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175257089
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.callhierarchy.view",1403175257099
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1403175281095
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1403175281097
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1403175281099
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1403175281146
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1403175281196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1403175281196
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1403175297410
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1403175297412
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1403175297431
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1403175297431
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1403175297459
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1403175297464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175304506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175315531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175315592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175315731
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1403175324184
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1403175324272
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1403175324288
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1403175324311
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1403175324363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175324464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175327768
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1403175329120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175330300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175333468
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1403175333563
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1403175333958
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1403175337672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175366852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175887121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175887784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175888832
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403175889031
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1403175889761
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1403175889764
