what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1404812817380
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1404812817380
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1404812817382
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1404812817478
os,sysinfo,,,"win32",1404812817482
arch,sysinfo,,,"x86",1404812817482
ws,sysinfo,,,"win32",1404812817482
locale,sysinfo,,,"es_ES",1404812817482
processors,sysinfo,,,"4",1404812817482
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1404812817482
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1404812817482
java.specification.name,sysinfo,,,"Java Platform API Specification",1404812817482
java.specification.vendor,sysinfo,,,"Oracle Corporation",1404812817482
java.specification.version,sysinfo,,,"1.7",1404812817482
java.vendor,sysinfo,,,"Oracle Corporation",1404812817482
java.version,sysinfo,,,"1.7.0_60",1404812817482
java.vm.info,sysinfo,,,"mixed mode",1404812817482
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1404812817482
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1404812817482
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1404812817482
java.vm.specification.version,sysinfo,,,"1.7",1404812817482
java.vm.vendor,sysinfo,,,"Oracle Corporation",1404812817482
java.vm.version,sysinfo,,,"24.60-b09",1404812817482
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1404812817522
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1404812817575
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1404812817605
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1404812819017
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1404812819238
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1404812819239
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1404812819850
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1404812819912
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1404812819967
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1404812820006
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1404812820217
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1404812820541
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1404812820675
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1404812821299
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1404812821668
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1404812827482
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1404812827507
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1404812827695
started,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1404812827803
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1404812827911
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1404812827942
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1404812827945
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1404812828550
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1404812828551
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1404812828650
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1404812828759
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1404812828780
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1404812828867
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1404812829807
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1404812829830
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1404812829998
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1404812831788
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1404812837891
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1404812845772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404812882088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404824309073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404824309789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404826242387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404826242882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404826423690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404826424560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404834878028
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1404834881182
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1404834881198
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1404834881217
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1404834881289
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1404834881473
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1404834881812
opened,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1404834881875
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1404834882008
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1404834882057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404834896661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404834936460
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834938386
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834938523
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1404834945238
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834946399
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834946492
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834955214
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404834966397
